"","Start.Date","End.Date","Response.Type","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","Distribution.Channel","User.Language","Do.you.know.what.Agent.Based.Modeling.is.","What.is.your.experience.with.Agent.Based.Modeling.","How.do.you.judge.the.available.theory.on.Agent.Based.Modelling.","Which.software.do.you.know.for.Agent.Based.Modeling....Selected.Choice","Which.software.do.you.know.for.Agent.Based.Modeling....Other....Text","Have.you.ever.applied.Agent.Based.Modelling.","What.did.you.use.Agent.Based.Modelling.for.","Which.computer.skills.do.you.have....Selected.Choice","Which.computer.skills.do.you.have....Other..please.describe....Text","Do.you.have.any.previous.programming.coding.experience.","With.which.programming.languages.have.you.worked.before....Selected.Choice","With.which.programming.languages.have.you.worked.before....Other..please.describe...Text","What.is.your.age.","What.is.your.gender....Selected.Choice","What.is.your.gender....Prefer.to.self.describe.below....Text","What.is.you.highest.educational.grade.obtained.","What.is.you.nationality....Selected.Choice","What.is.you.nationality....Nationality...Text","Which.of.the.option.below.applies.to.you.","What.is.the.best.description.of.your.job...Selected.Choice","What.is.the.best.description.of.your.job...Different..please.describe....Text","What.kind.of.organisation.do.you.work....Selected.Choice","What.kind.of.organisation.do.you.work....Different..please.describe....Text","Workshop"
"68","10/10/2023 14:27","10/10/2023 14:29","IP Address",100,110,"TRUE","10/10/2023 14:29","R_084S063MN0x13pv","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","1-2 years","Python,R","","31-40 years","Male",NA,"PhD","Nationality","Dutch","Working professionally","Specialist","","NGO",NA,"202310_CAA-DE-NLFl"
"69","10/10/2023 14:34","10/10/2023 14:35","IP Address",100,83,"TRUE","10/10/2023 14:35","R_2EcL4sprpnKjXYE","anonymous","EN","No","","","",NA,"","","Word processor,Email,GIS,CAD","","No","","","41-50 years","Male",NA,"Master","Nationality","German","Student","","","",NA,"202310_CAA-DE-NLFl"
"70","10/10/2023 14:40","10/10/2023 14:41","IP Address",100,63,"TRUE","10/10/2023 14:41","R_UnLiJHgGo35nVPb","anonymous","EN","No","","","",NA,"","","Email,GIS,CAD,3D modelling","","Less than 1 year","R,Other, please describe","C#","21-30 years","Male",NA,"Bachelor","Nationality","Brazilian","Student","","","",NA,"202310_CAA-DE-NLFl"
"71","10/10/2023 14:41","10/10/2023 14:43","IP Address",100,135,"TRUE","10/10/2023 14:43","R_1hAyLj7HjAnkr2a","anonymous","EN","Yes","Beginner","More than sufficient","NetLogo,R,Python",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding","","Less than 1 year","Python","","31-40 years","Male",NA,"PhD","Nationality","Italian","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"72","10/10/2023 14:45","10/10/2023 14:47","IP Address",100,127,"TRUE","10/10/2023 14:47","R_3PbmLFFAB1rEQKv","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS","","No","","","21-30 years","Male",NA,"Master","Nationality","Italian","Student","","","",NA,"202310_CAA-DE-NLFl"
"73","10/10/2023 14:49","10/10/2023 14:56","IP Address",100,417,"TRUE","10/10/2023 14:56","R_1I6Orb6Vp729r1n","anonymous","EN","No","","","",NA,"","","Word processor,Email,CAD","","No","","","31-40 years","Female",NA,"Master","Prefer not to share","","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"74","10/10/2023 14:58","10/10/2023 14:59","IP Address",100,39,"TRUE","10/10/2023 14:59","R_27P4yzLZH2dlLTi","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS","","No","","","21-30 years","Female",NA,"Master","Nationality","Italian","Student","","","",NA,"202310_CAA-DE-NLFl"
"75","10/10/2023 15:16","10/10/2023 15:17","IP Address",100,89,"TRUE","10/10/2023 15:17","R_3D6jjGxMwNTy8Qm","anonymous","EN","No","","","",NA,"","","Word processor,Email,3D modelling","","No","","","21-30 years","Female",NA,"Master","Prefer not to share","","Working professionally","Different, please describe:","Research Assistant","University",NA,"202310_CAA-DE-NLFl"
"76","10/10/2023 15:44","10/10/2023 15:45","IP Address",100,79,"TRUE","10/10/2023 15:45","R_zcWGXtP1QgyliSJ","anonymous","EN","Yes","Beginner","Limited","NetLogo",NA,"No","","Word processor,Email,GIS,3D modelling,Programming/coding","","Less than 1 year","Python","","21-30 years","Male",NA,"Bachelor","Nationality","Italian","Student","","","",NA,"202310_CAA-DE-NLFl"
"77","10/10/2023 16:05","10/10/2023 16:06","IP Address",100,87,"TRUE","10/10/2023 16:06","R_DP30oeXy4cuyvnz","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","Less than 1 year","Javascript / Typescript","","31-40 years","Female",NA,"Master","Nationality","American ","Working professionally","Fieldwork","","Commercial",NA,"202310_CAA-DE-NLFl"
"78","10/10/2023 16:04","10/10/2023 16:08","IP Address",100,223,"TRUE","10/10/2023 16:08","R_3QF2qs2PNLenxMs","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,R",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","Less than 1 year","Python,R","","41-50 years","Female",NA,"PhD","Nationality","Italian","Working professionally","Different, please describe:","cultural heritage","Government",NA,"202310_CAA-DE-NLFl"
"79","10/10/2023 16:10","10/10/2023 16:11","IP Address",100,80,"TRUE","10/10/2023 16:11","R_2nQjtaiH6xMjiNj","anonymous","EN","Yes","Beginner","Limited","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","Less than 1 year","R","","21-30 years","Female",NA,"Master","Nationality","Irish","Working professionally","Specialist","","University",NA,"202310_CAA-DE-NLFl"
"80","10/10/2023 16:10","10/10/2023 16:12","IP Address",100,95,"TRUE","10/10/2023 16:12","R_1k0Na8Q69NXwKoW","anonymous","EN","Yes","Beginner","Limited","NetLogo",NA,"No","","Word processor,Email,GIS,CAD,3D modelling","","No","","","41-50 years","Female",NA,"PhD","Nationality","German","Working professionally","Research","","Government",NA,"202310_CAA-DE-NLFl"
"81","10/10/2023 16:28","10/10/2023 16:30","IP Address",100,101,"TRUE","10/10/2023 16:30","R_1BP2i4ngM4SL2LQ","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD","","No","","","31-40 years","Female",NA,"PhD","Nationality","German","Working professionally","Research","","Government",NA,"202310_CAA-DE-NLFl"
"82","10/10/2023 16:48","10/10/2023 16:50","IP Address",100,105,"TRUE","10/10/2023 16:50","R_2XjQAIECQWWnZ2f","anonymous","EN","No","","","",NA,"","","Email,GIS,CAD,3D modelling","","No","","","21-30 years","Female",NA,"Master","Nationality","German","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"83","10/10/2023 17:38","10/10/2023 17:40","IP Address",100,96,"TRUE","10/10/2023 17:40","R_RV8aux37cYpvVRL","anonymous","EN","Yes","Beginner","Limited","R,Python",NA,"No","","Word processor,Email,Spreadsheet","","Less than 1 year","Python,R","","31-40 years","Male",NA,"Master","Prefer not to share","","Student","","","",NA,"202310_CAA-DE-NLFl"
"84","10/10/2023 17:45","10/10/2023 17:46","IP Address",100,37,"TRUE","10/10/2023 17:46","R_1FfZ7ZECrALzTKv","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS","","No","","","21-30 years","Male",NA,"High school","Nationality","Brazilian","Student","","","",NA,"202310_CAA-DE-NLFl"
"85","10/10/2023 19:54","10/10/2023 19:55","IP Address",100,59,"TRUE","10/10/2023 19:55","R_1M4zLdjBTNrenmv","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS","","No","","","41-50 years","Female",NA,"PhD","Nationality","Turkish","Working professionally","Education","","University",NA,"202310_CAA-DE-NLFl"
"86","10/10/2023 20:58","10/10/2023 20:59","IP Address",100,114,"TRUE","10/10/2023 21:00","R_2SqNn5XfXWLwnNC","anonymous","EN","Yes","Beginner","Sufficient","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","No","","","31-40 years","Female",NA,"PhD","Nationality","Brazil","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"87","10/10/2023 22:32","10/10/2023 22:33","IP Address",100,45,"TRUE","10/10/2023 22:33","R_301VomyZetw2Fwg","anonymous","EN","No","","","",NA,"","","Email","","No","","","41-50 years","Male",NA,"PhD","Prefer not to share","","Working professionally","Research","","Commercial",NA,"202310_CAA-DE-NLFl"
"88","11/10/2023 02:36","11/10/2023 02:37","IP Address",100,77,"TRUE","11/10/2023 02:37","R_2rZLKHTGekD2eQw","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,Programming/coding","","1-2 years","R,Javascript / Typescript","","21-30 years","Female",NA,"Bachelor","Nationality","Singaporean","Student","","","",NA,"202310_CAA-DE-NLFl"
"89","11/10/2023 12:46","11/10/2023 12:47","IP Address",100,83,"TRUE","11/10/2023 12:47","R_3JrsRnVbggqh1v0","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","Less than 1 year","Python,R","","31-40 years","Male",NA,"PhD","Nationality","Nigerian","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"90","11/10/2023 14:30","11/10/2023 14:31","IP Address",100,83,"TRUE","11/10/2023 14:31","R_1EiZrAikS5IeKhF","anonymous","EN","Yes","Beginner","Sufficient","R,Python",NA,"No","","Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","Less than 1 year","Python,R","","31-40 years","Male",NA,"Master","Nationality","Polish","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"91","11/10/2023 14:54","11/10/2023 14:56","IP Address",100,120,"TRUE","11/10/2023 14:56","R_3fxUBMtnrJgPITc","anonymous","EN","Yes","Beginner","Limited","R,Python",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","Less than 1 year","R,C","","51-60 years","Male",NA,"PhD","Nationality","British / Danish","Working professionally","Research","","Government",NA,"202310_CAA-DE-NLFl"
"92","11/10/2023 19:34","11/10/2023 19:36","IP Address",100,141,"TRUE","11/10/2023 19:36","R_2Qy5KWleDXmKMZD","anonymous","EN","Yes","Beginner","Limited","NetLogo",NA,"Yes","Simulating an epidemic in a GIS.","Word processor,Email,Spreadsheet,GIS","","1-2 years","NetLogo,Python,Java,R,C,C++","","31-40 years","Male",NA,"PhD","Nationality","Greek","Student","","","",NA,"202310_CAA-DE-NLFl"
"93","11/10/2023 21:08","11/10/2023 21:09","IP Address",100,76,"TRUE","11/10/2023 21:09","R_1g8hhFY7RgTtk42","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,Programming/coding","","Less than 1 year","Python,Javascript / Typescript","","21-30 years","Female",NA,"Bachelor","Nationality","Greek","Student","","","",NA,"202310_CAA-DE-NLFl"
"94","11/10/2023 22:14","11/10/2023 22:16","IP Address",100,112,"TRUE","11/10/2023 22:16","R_2YR354MgZcWdh4s","anonymous","EN","No","","","",NA,"","","Word processor,Email","","No","","","21-30 years","Female",NA,"High school","Nationality","Greek","Student","","","",NA,"202310_CAA-DE-NLFl"
"95","12/10/2023 00:01","12/10/2023 00:02","IP Address",100,53,"TRUE","12/10/2023 00:02","R_33jxyuCusnWJXFu","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling","","No","","","31-40 years","Female",NA,"Master","Prefer not to share","","Student","","","",NA,"202310_CAA-DE-NLFl"
"96","12/10/2023 02:54","12/10/2023 02:56","IP Address",100,79,"TRUE","12/10/2023 02:56","R_uyV5VJ9Cel3dWAV","anonymous","EN","Yes","Beginner","Limited","NetLogo,Python",NA,"No","","Word processor,Email,Spreadsheet,GIS","","No","","","21-30 years","Female",NA,"Bachelor","Nationality","New Zealand","Student","","","",NA,"202310_CAA-DE-NLFl"
"97","12/10/2023 07:59","12/10/2023 08:00","IP Address",100,80,"TRUE","12/10/2023 08:00","R_1GKwEIdPmDh62Fg","anonymous","EN","Yes","Beginner","Limited","R",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling","","No","","","31-40 years","Female",NA,"PhD","Nationality","Czech","Working professionally","Education","","University",NA,"202310_CAA-DE-NLFl"
"98","12/10/2023 09:09","12/10/2023 09:10","IP Address",100,95,"TRUE","12/10/2023 09:10","R_6KKGxZBKhOf7Bhn","anonymous","EN","Yes","Beginner","Sufficient","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","1-2 years","Python,Java,Javascript / Typescript,C++","","21-30 years","Male",NA,"Master","Nationality","Belg","Student","","","",NA,"202310_CAA-DE-NLFl"
"99","12/10/2023 09:42","12/10/2023 09:43","IP Address",100,73,"TRUE","12/10/2023 09:43","R_Usgxln7OaaiKEgh","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","More than 5 years","Python,Java,Javascript / Typescript,C++","","41-50 years","Male",NA,"PhD","Nationality","German","Working professionally","Specialist","","Government",NA,"202310_CAA-DE-NLFl"
"100","12/10/2023 10:27","12/10/2023 10:28","IP Address",100,74,"TRUE","12/10/2023 10:28","R_RgnWBOziyqLpgZj","anonymous","EN","Yes","Beginner","No opinion","NetLogo,R",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","More than 5 years","Python,R","","31-40 years","Male",NA,"PhD","Nationality","German","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"101","12/10/2023 10:28","12/10/2023 10:29","IP Address",100,109,"TRUE","12/10/2023 10:29","R_2VDv6I4jqEZbCnh","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","1-2 years","Java,R,Javascript / Typescript,Other, please describe","C#","31-40 years","Female",NA,"PhD","Prefer not to share","","Student","","","",NA,"202310_CAA-DE-NLFl"
"102","12/10/2023 10:35","12/10/2023 10:37","IP Address",100,147,"TRUE","12/10/2023 10:37","R_0CjEAeOAGYFgfC1","anonymous","EN","Yes","Beginner","Sufficient","NetLogo",NA,"Yes","To model ancient hunting practices","GIS,Programming/coding","","3-5 years","NetLogo,R,Javascript / Typescript","","Prefer not to share this","",NA,"PhD","Prefer not to share","","Working professionally","Research","","University",NA,"202310_CAA-DE-NLFl"
"103","2023-11-24 14:12:04","2023-11-24 14:12:54","IP Address",100,50,"True","2023-11-24 14:12:55","R_1IY62A22MzKVU5Y","qr","EN","No","","","",NA,"",NA,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",NA,"1-2 years","Python,C++","","31-40 years","Female",NA,"Master","Prefer not to share","","Working professionally","Specialist","","Government",NA,"202311_CAA-UK"
"104","2023-11-24 14:11:55","2023-11-24 14:13:07","IP Address",100,71,"True","2023-11-24 14:13:07","R_3oYEjUhiQOTm8zp","qr","EN","Yes","Beginner","Limited","R,Python",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",NA,"3-5 years","Python,Java,R,Javascript / Typescript,C","","21-30 years","Male",NA,"Master","Nationality","English","Student","","","",NA,"202311_CAA-UK"
"105","2023-11-24 14:12:00","2023-11-24 14:13:08","IP Address",100,67,"True","2023-11-24 14:13:09","R_2bWsS8VQNHCqexG","qr","EN","No","","","",NA,"",NA,"Word processor,Email,Spreadsheet,3D modelling",NA,"Less than 1 year","Other, please describe","SQL","21-30 years","Female",NA,"Master","Nationality","Mexican","Working professionally","Specialist","","Semi-commercial",NA,"202311_CAA-UK"
"106","2023-11-24 14:12:27","2023-11-24 14:13:22","IP Address",100,55,"True","2023-11-24 14:13:23","R_2dvdi8ZMsdp1Yxr","qr","EN","No","","","",NA,"",NA,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling",NA,"No","","","21-30 years","Female",NA,"Master","Nationality","Albanian ","Student","","","",NA,"202311_CAA-UK"
"107","2023-11-24 14:11:56","2023-11-24 14:15:34","IP Address",100,218,"True","2023-11-24 14:15:35","R_3PLRAbtM184uKGd","qr","EN","Yes","Beginner","Limited","None",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",NA,"More than 5 years","NetLogo,Python,Java,R,Javascript / Typescript,C,C++","","51-60 years","Male",NA,"Master","Nationality","UK","Working professionally","Different, please describe:","programmer","Commercial",NA,"202311_CAA-UK"
"108","2023-11-24 14:12:02","2023-11-24 14:18:08","IP Address",100,365,"True","2023-11-24 14:18:08","R_2UikFmTfxuWgviy","qr","EN","Yes","Beginner","No opinion","None",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling",NA,"No","","","","Female",NA,"Master","Nationality","British/Canadian ","Working professionally","Research","","University",NA,"202311_CAA-UK"
"109","2023-11-24 14:17:27","2023-11-24 14:18:35","IP Address",100,67,"True","2023-11-24 14:18:35","R_3IZ8TRqHeZ1T2T8","anonymous","EN","Yes","Beginner","Sufficient","NetLogo",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS",NA,"Less than 1 year","NetLogo,R","","21-30 years","Female",NA,"Master","Nationality","Canadian","Student","","","",NA,"202311_CAA-UK"
"110","2023-11-24 14:11:55","2023-11-24 14:12:37","IP Address",88,42,"False","2023-12-01 14:12:40","R_sR5jhzPOnZ7Xxdv","qr","EN","No","","","",NA,"",NA,"Word processor,Email,Spreadsheet",NA,"No","","","31-40 years","Female",NA,"High school","Prefer not to share","","Working professionally","","","",NA,"202311_CAA-UK"
"111","2023-11-30 19:12:47","2023-11-30 19:16:02","IP Address",100,194,"True","2023-11-30 19:16:02","R_poMqYvjfPBoAAF3","anonymous","EN","Yes","Beginner","Limited","None",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",NA,"Less than 1 year","Python,Java,C++",NA,"21-30 years","Female",NA,"Bachelor","Nationality","Dutch","Student",NA,NA,NA,NA,"Leiden_202312"
"112","2023-12-04 11:21:04","2023-12-04 11:22:42","IP Address",100,98,"True","2023-12-04 11:22:43","R_1EibMeB3JmguQsV","anonymous","EN","Yes","Beginner","More than sufficient","NetLogo",NA,"No",NA,"Word processor,Email,Programming/coding",NA,"Less than 1 year","NetLogo,Python",NA,"21-30 years","Male",NA,"Bachelor","Nationality","Irish","Student",NA,NA,NA,NA,"Leiden_202312"
"113","2023-12-04 13:39:00","2023-12-04 13:40:26","IP Address",100,85,"True","2023-12-04 13:40:27","R_1OirW07VVXneTpH","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No",NA,"Word processor,Email,Spreadsheet,GIS,3D modelling",NA,"Less than 1 year","None",NA,"21-30 years","Male",NA,"Bachelor","Nationality","Dutch","Student",NA,NA,NA,NA,"Leiden_202312"
